SOLD_TO|ZCVEOPER|/BIC/MXZCVEOPE|/BIC/HMPS_PSID|CALDAY|/BIC/HMVPTYP|/BIC/ZRPREVENT|/BIC/HMMATPAD|/BIC/VTACFKPD|/BIC/VTACUKPD|/BIC/INGBP1KPD|/BIC/INSAP1KPD
0120022612|NO|VENTA| |25/10/2017|000000000000000459|ZPV|CH6503|1.000|2.113|64.29|64.29
0120022612|NO|VENTA| |25/10/2017|000000000000000450|ZPV|CH6503|1.000|2.113|64.29|64.29
0120022358|NO|VENTA| |26/10/2017|000000000000000650|ZPV|ZA6303|1.000|2.113|134.12|134.12
0120022594|NO|VENTA| |26/10/2017|000000000000001885|ZPV|CH6606|1.000|2.113|116.88|116.88
0120022650|NO|VENTA| |25/10/2017|000000000000001885|ZPV|CH7007|1.000|2.113|116.88|116.88
0120022502|NO|VENTA| |27/10/2017|000000000000001885|ZPV|RY6201|1.000|2.113|116.88|116.88
0120022612|NO|VENTA| |25/10/2017|000000000000000445|ZPV|CH6503|1.000|2.113|85.84|85.84
0120022650|NO|VENTA| |25/10/2017|000000000000002335|ZPV|CH7007|1.000|2.113|98.34|98.34
0120022897|NO|VENTA| |26/10/2017|000000000000002623|ZPV|ZA6607|1.000|2.113|60.34|60.34
0120022502|NO|VENTA| |27/10/2017|000000000000084313|ZPV|RY6201|1.000|2.113|90.00|90.00
0120099261|NO|VENTA| |24/10/2017|000000000000001740|ZPV|CH7008|1.000|2.113|64.29|64.29
0120102768|NO|VENTA| |24/10/2017|000000000000001740|ZPV|CH6903|1.000|2.113|64.29|64.29